Designator,Footprint,Quantity,Value,LCSC Part #
"BTN, GND",TestPoint_Keystone_5015_Micro_Mini,2,TestPoint_Keystone_5015_Micro_Mini,
C1,0805,1,0.1uF,C476766
C2,0805,1,10 uF,C89827
"C3, C4",0805,2,22 pF,C24658
IC1,QFN50P500X500X90-33N-D,1,ATMEGA328PB-MUR,C2651953
J1,MCON1.2-4,1,Conn_01x04_Pin,
J2,PinSocket_2x03_P2.54mm_Vertical_SMD,1,FLASH,C5160818
"L1, L2, L3, L4",LRTB GVSG_OSR,4,RGB_LRTB, C2899971
R1,0603,1,1.6k,C351670
"R2, R5",0603,2,10k,C98220
R3,0603,1,1k,C491209
"TP1, TP10, TP11, TP12, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D2.0mm,12,TestPoint,
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.3x3.3mm_ThermalVias,1,TLC5947RHB,C181402
U2,HVSON8_3X3_NXP,1,TJA1028TK/5V0/20/J,C3229277
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,Crystal_GND24,C655061
