Designator,Mid X,Mid Y,Rotation,Layer
BTN,255.93,-134.21,0.0,top
C1,232.78,-152.29,0.0,bottom
C2,215.11,-136.46,90.0,bottom
C3,229.01,-135.4,180.0,bottom
C4,232.17,-137.86,90.0,bottom
GND,255.89,-138.15,0.0,top
IC1,222.42,-136.52,0.0,bottom
J1,204.510005,-142.679893,90.0,top
J2,243.01,-142.87,180.0,bottom
J3,256.56,-139.69,270.0,bottom
L1,220.374999,-142.7,0.0,top
L2,233.06,-142.7,0.0,top
L3,245.73,-142.7,0.0,top
L4,258.39,-142.7,0.0,top
R1,223.46,-152.02,270.0,bottom
R2,216.05,-133.08,180.0,bottom
R3,215.56,-151.6,90.0,bottom
R5,249.36,-134.23,0.0,bottom
U1,227.6,-149.8125,0.0,bottom
U2,219.1694,-150.4192,90.0,bottom
Y1,229.005,-138.09,180.0,bottom
