Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BTN,TestPoint_Keystone_5015_Micro_Mini,TestPoint_Keystone_5015_Micro_Mini,255.93,-134.21,0.0,top
C1,0.1uF,C_0805_2012Metric,232.78,-152.29,0.0,bottom
C2,10 uF,C_0805_2012Metric,216.75,-136.46,90.0,bottom
C3,22 pF,C_0805_2012Metric,229.01,-135.4,180.0,bottom
C4,22 pF,C_0805_2012Metric,232.17,-137.86,90.0,bottom
GND,TestPoint_Keystone_5015_Micro_Mini,TestPoint_Keystone_5015_Micro_Mini,255.89,-138.15,0.0,top
IC1,ATMEGA328PB-MUR,QFN50P500X500X90-33N-D,222.42,-136.52,0.0,bottom
J1,Conn_01x04_Pin,MCON1.2-4,207.510005,-142.679893,90.0,top
J2,FLASH,PinSocket_2x03_P2.54mm_Vertical_SMD,243.01,-142.87,180.0,bottom
J3,84952-5,849525,255.16,-139.69,270.0,bottom
L1,RGB_LRTB,LRTB GVSG_OSR,220.374999,-142.7,0.0,top
L2,RGB_LRTB,LRTB GVSG_OSR,233.06,-142.7,0.0,top
L3,RGB_LRTB,LRTB GVSG_OSR,245.73,-142.7,0.0,top
L4,RGB_LRTB,LRTB GVSG_OSR,258.39,-142.7,0.0,top
R1,1.6k,R_0603_1608Metric,223.46,-152.02,270.0,bottom
R2,10k,R_0603_1608Metric,217.5,-133.08,180.0,bottom
R3,1k,R_0603_1608Metric,216.75,-154.25,0.0,bottom
R5,10k,R_0603_1608Metric,249.36,-134.23,0.0,bottom
U1,TLC5947RHB,QFN-32-1EP_5x5mm_P0.5mm_EP3.3x3.3mm_ThermalVias,227.6,-149.8125,270.0,bottom
U2,TJA1028TK/5V0/20/J,HVSON8_3X3_NXP,219.1694,-150.4192,90.0,bottom
Y1,Crystal_GND24,Crystal_SMD_2520-4Pin_2.5x2.0mm,229.005,-138.09,180.0,bottom
